구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
1,2021-11-01,2021-11-06,"고등학교,중학교",경기 수원시자원봉사센터  2021년 제1회 청소년 자원봉사 UCC 경진대회,수원시자원봉사센터,경기도 수원시 영통구 태장로39 수원시자원봉사센터 영통분소 2층
2,2021-09-18,2021-09-26,유치원,"온라인 국립중앙과학관  2021년 유아대상 과학문화공연 샌드아트 쓸까, 말까 플라스틱온라인 공연 안내","국립중앙과학관 유튜브 채널, 국립중앙과학관 네이버TV",대전광역시 유성구 대덕대로 481 (구성동32-2)
3,2021-09-18,2021-09-22,"일반,중학교,유치원,고등학교,초등학교",광주 국립광주과학관  2021 한가위 특별행사  추석에 뭐할까 과학관에서 놀자,국립광주과학관,광주광역시 북구 첨단과기로 235(오룡동 1-6번지)
4,2021-09-15,2022-01-31,"고등학교,초등학교,중학교,일반,교원",온라인 WHolly One Korea  북한이탈주민 어린이와 청소년을 위한 민주시민교육,"탈북민 대안학교, 지역아동센터, 방과후학교, 그룹홈 등",서울시 영등포구 버드나루로 50
5,2021-09-14,2021-09-17,"초등학교,중학교",온라인 국립과천과학관  2021년 가을학기 온라인 교육과정 안내,온라인,경기도 과천시 상하벌로 110
6,2021-09-13,2021-10-29,"초등학교,일반",온라인 국립고궁박물관  조선왕실의 건강비법등 7종 교육과정 접수,화상회의 플랫폼(구루미)을 통한 온라인 교육 실시,서울특별시 종로구 효자로 12(세종로1-57)
7,2021-09-13,2021-09-30,초등학교,온라인 창동인터넷중독예방상담센터  2021년 스마트폰 가족치유캠프 참가자 모집,온라인,서울 도봉구 노해로 69길 132
8,2021-09-13,2021-09-23,초등학교,온라인 시립성동청소년센터  9월AZIT로 떠나는 산책(BOOK) 버림받은 마녀편 ,온라인플랫폼 ZOOM,서울특별시 성동구 고산자로 260
9,2021-09-13,2021-09-23,"고등학교,중학교",온라인 시립 은평청소년미래진로센터  메타버스 스마트팜 교육 나는 스마트파머2 참가자 모집,메타버스 플랫폼 게더타운 (Gather Town),서울 은평구 통일로 684 서울혁신파크 공유동 3층 6층
10,2021-09-13,2021-09-16,"일반,초등학교,유치원",온라인 국립청주박물관  비대면 프로그램 복숭아 송편 만드소 체험 안내,국립청주박물관 문화사랑채,충청북도 청주시 상당구 명암로 143
11,2021-09-10,2021-09-11,초등학교,서울 시립수서청소년센터  녹색도시프로젝트  꽃길걸어요,시립수서청소년센터,서울특별시 강남구 광평로 144
12,2021-09-09,2021-09-27,"고등학교,초등학교,일반,중학교",전남 전라남도청소년미래재단  2021년 전라남도 청소년 가족 비대면 걷기대회 참가자 모집,전라남도 일대(참가자 거주 지역 어느 곳에서나 가능),전라남도 무안군 삼향읍 어진누리길 30 전남여성가족재단 4층
13,2021-09-08,2021-10-17,"고등학교,초등학교,일반,중학교,유치원",충북  2021 청주공예비엔날레,문화제조창 본관 및 청주시 일원,충북 청주시 청원구 상당로 314 (내덕2동 201-1)
14,2021-09-07,2021-09-22,"고등학교,일반,중학교",서울 시립서울청소년센터  영상촬영 및 편집 기획단 찾아가는 아이들 참가자 모집,시립서울청소년센터 및 지역사회 탐방,서울시 중구 을지로 11길 23
15,2021-09-06,2021-09-26,"고등학교,초등학교,일반,중학교,유치원","강릉 강릉아트센터  춤의정원 궁궐잔치의 꽃, 궁중춤을 만난다.",사임당홀,강원도 강릉시 종합운동장길 84(교동)
16,2021-09-04,2021-09-26,"중학교,유치원,고등학교,초등학교,일반",경북  2021 세계유산축전 안동,"하회마을, 병산서원, 도산서원",경상북도 안동시 도산면 도산서원길 154
17,2021-09-04,2021-09-09,"고등학교,초등학교,중학교,유치원",경남 밀양시청소년수련관  추석맞이 집쿡(cook) 페스티벌,온라인,경상남도 밀양시 삼문송림길 26 밀양시청소년수련관
18,2021-09-04,2021-09-08,"고등학교,초등학교,중학교","충남 보령시청소년문화의집  차로 배우는 예쁜 마음, 청소년다도",보령시청소년문화의집,충청남도 보령시 대천동 618-225
19,2021-09-03,2021-10-24,"고등학교,중학교",온라인 교보교육재단  제5회 책갈피 독서편지 쓰기 공모전,온라인,서울시 동대문구 왕산로 10 9층
20,2021-09-03,2021-09-22,"고등학교,초등학교,중학교,유치원,일반",온라인 서울 국립민속박물관  2021 추석맞이 한마당  한가위만 같아라 행사 안내,"국립민속박물관 본관 로비, 어린이박물관 로비, 파주관 로비, 온라인",서울시 종로구 삼청로 37
21,2021-09-03,2021-09-17,일반,온라인 서울특별시교육청  2021 학부모 온택트(Ontact) 진로콘서트 4회 신청 안내,서울특별시교육청 유튜브,서울특별시 종로구 송월길 48
